"","state_abbr","favor_dem","month","newcases_per100k_avg"
"151","FL",1,9,655.272429722567
"152","FL",1,10,521.770964413506
"153","FL",1,11,938.534535830527
"154","FL",0,3,12.4804349484084
"155","FL",0,4,71.8770275346753
"156","FL",0,5,175.325291508162
"157","FL",0,6,357.631403718305
"158","FL",0,7,1238.6491528233
"159","FL",0,8,1272.82814675026
"160","FL",0,9,513.370111836068
"161","FL",0,10,500.116948802099
"162","FL",0,11,787.566260495341
"163","GA",0,3,25.7777376430067
"164","GA",0,4,222.028321352224
"165","GA",0,5,202.157451749842
"166","GA",0,6,343.125286974115
"167","GA",0,7,852.145039125421
"168","GA",0,8,899.443105077468
"169","GA",0,9,593.627925921647
"170","GA",0,10,467.521928609854
"171","GA",0,11,1118.55582499548
"172","GA",1,3,66.671158326292
"173","GA",1,4,448.470654227486
"174","GA",1,5,258.204712274636
"175","GA",1,6,283.486319444514
"176","GA",1,7,939.155121936804
"177","GA",1,8,853.873644315755
"178","GA",1,9,491.174022425907
"179","GA",1,10,346.837921677689
"180","GA",1,11,838.103663377212
"181","HI",1,3,13.3095953880236
"182","HI",1,4,30.5663792332161
"183","HI",1,5,1.80834326946784
"184","HI",1,6,13.3427539514088
"185","HI",1,7,42.0485198280632
"186","HI",1,8,211.112581807918
"187","HI",1,9,163.387320736273
"188","HI",1,10,140.79084767175
"189","HI",1,11,144.553908784144
"190","ID",0,3,9.35256297709409
"191","ID",0,4,45.7778509697128
"192","ID",0,5,54.5706894484734
"193","ID",0,6,133.693651545466
"194","ID",0,7,435.13901636541
"195","ID",0,8,546.315131658722
"196","ID",0,9,690.846808809228
"197","ID",0,10,1370.69699586673
"198","ID",0,11,2006.04923172004
"199","ID",1,3,417.010555579688
"200","ID",1,4,670.84374339494
"201","ID",1,5,32.9002878536106
"202","ID",1,6,66.160632613996
"203","ID",1,7,143.978466342084
"204","ID",1,8,286.981329550997
"205","ID",1,9,536.242298264171
"206","ID",1,10,1048.70556980623
"207","ID",1,11,1703.64518428279
"208","IL",0,3,4.23829827858767
"209","IL",0,4,78.9217855401687
"210","IL",0,5,109.628890402862
"211","IL",0,6,64.1615200061313
"212","IL",0,7,212.163777001445
"213","IL",0,8,492.812153834703
"214","IL",0,9,626.674442390772
"215","IL",0,10,1080.57574093111
"216","IL",0,11,3004.65505896033
"217","IL",1,3,26.8666446162257
"218","IL",1,4,248.739106606728
"219","IL",1,5,431.465809665644
"220","IL",1,6,175.790828779923
"221","IL",1,7,353.700515186747
"222","IL",1,8,464.403692212498
"223","IL",1,9,536.273271212492
"224","IL",1,10,838.738387881634
"225","IL",1,11,2307.5166655243
"226","IN",0,3,18.5353653986755
"227","IN",0,4,172.557135764301
"228","IN",0,5,179.49117313338
"229","IN",0,6,123.435321712656
"230","IN",0,7,247.572424564416
"231","IN",0,8,374.780135321372
"232","IN",0,9,310.536938387412
"233","IN",0,10,896.797645350875
"234","IN",0,11,2365.31355132679
"235","IN",1,3,42.0624589841237
"236","IN",1,4,275.255971950461
"237","IN",1,5,269.383393204089
"238","IN",1,6,165.917156310241
"239","IN",1,7,367.162824300235
"240","IN",1,8,497.062619398902
"241","IN",1,9,577.618970365693
"242","IN",1,10,886.491786539248
"243","IN",1,11,2219.31390024596
"244","IA",0,3,10.428451040755
"245","IA",0,4,127.614041028553
"246","IA",0,5,304.412627013098
"247","IA",0,6,305.521596721828
"248","IA",0,7,374.652823651858
"249","IA",0,8,499.08336490455
"250","IA",0,9,799.914867121947
"251","IA",0,10,1428.47719983571
"252","IA",0,11,3361.69041825822
"253","IA",1,3,20.2175575662656
"254","IA",1,4,284.492926274111
"255","IA",1,5,253.018092167132
"256","IA",1,6,308.23396594157
"257","IA",1,7,525.142883963379
"258","IA",1,8,833.151202644608
"259","IA",1,9,691.482970927163
"260","IA",1,10,958.602864922027
"261","IA",1,11,3054.67056362629
"262","KS",0,3,8.06099676491648
"263","KS",0,4,110.646346769264
"264","KS",0,5,171.416312638193
"265","KS",0,6,88.6079152165329
"266","KS",0,7,224.289025178648
"267","KS",0,8,377.187714557549
"268","KS",0,9,764.890784773717
"269","KS",0,10,1389.62222652986
"270","KS",0,11,3192.05026816917
"271","KS",1,3,33.6925412525358
"272","KS",1,4,191.375355534829
"273","KS",1,5,206.024834045082
"274","KS",1,6,308.329361343533
"275","KS",1,7,848.122064346038
"276","KS",1,8,798.245430617331
"277","KS",1,9,737.399198353335
"278","KS",1,10,713.985112360296
"279","KS",1,11,1642.86341561304
"280","KY",0,3,7.00250618884183
"281","KY",0,4,70.3655695436242
"282","KY",0,5,75.8947192684886
"283","KY",0,6,92.9098499555856
"284","KY",0,7,275.080413712432
"285","KY",0,8,338.422620718114
"286","KY",0,9,391.685318507001
"287","KY",0,10,825.416675839498
"288","KY",0,11,1570.44610021054
"289","KY",1,3,30.4530542611515
"290","KY",1,4,93.1480694144802
"291","KY",1,5,145.789262346253
"292","KY",1,6,206.560244033134
"293","KY",1,7,383.856507661084
"294","KY",1,8,560.98538668307
"295","KY",1,9,619.265287990428
"296","KY",1,10,1233.08404143292
"297","KY",1,11,1848.85852815565
"298","LA",0,3,46.624038741008
"299","LA",0,4,326.429172054315
"300","LA",0,5,283.024518148496
"301","LA",0,6,421.738624220109
"302","LA",0,7,1269.47631231582
"303","LA",0,8,871.783630312804
"304","LA",0,9,523.429707712363
"305","LA",0,10,437.733185082
"306","LA",0,11,1310.57301281773
